Metric,Code,SM,DAGMA,SMDG,Noise,d
F1,GP-ER1,0.3535,0.5455,0.6667,Gaussian,10
gscore,GP-ER1,0.0,0.2857,0.4286,Gaussian,10
shd,GP-ER1,6.0,4.0,4.0,Gaussian,10
F1,GP-ER11,0.5,0.3077,0.5,Gumbel,10
gscore,GP-ER11,0.25,0.0,0.25,Gumbel,10
shd,GP-ER11,6.0,7.0,6.0,Gumbel,10
F1,GP-ER12,0.6417666666666667,0.2609,0.678,Gumbel,30
gscore,GP-ER12,0.3796333333333333,0.0556,0.4722,Gumbel,30
shd,GP-ER12,19.666666666666668,31.0,17.0,Gumbel,30
F1,GP-ER13,0.5606333333333334,0.1224,0.6216,Gumbel,50
gscore,GP-ER13,0.27133333333333337,0.0,0.3488,Gumbel,50
shd,GP-ER13,30.0,40.0,27.0,Gumbel,50
F1,GP-ER2,0.4685333333333333,0.0526,0.5,Gaussian,30
gscore,GP-ER2,0.17650000000000002,0.0,0.2353,Gaussian,30
shd,GP-ER2,26.333333333333332,35.0,25.0,Gaussian,30
F1,GP-ER21,0.6190333333333333,0.5455,0.7143,Laplace,10
gscore,GP-ER21,0.3333333333333333,0.375,0.5,Laplace,10
shd,GP-ER21,4.666666666666667,5.0,4.0,Laplace,10
F1,GP-ER22,0.6256666666666666,0.2927,0.6462,Laplace,30
gscore,GP-ER22,0.2843,0.1471,0.3235,Laplace,30
shd,GP-ER22,22.333333333333332,28.0,22.0,Laplace,30
F1,GP-ER23,0.6013333333333334,0.0656,0.5773,Laplace,50
gscore,GP-ER23,0.3448333333333333,0.0172,0.2931,Laplace,50
shd,GP-ER23,36.0,56.0,38.0,Laplace,50
F1,GP-ER3,0.5999333333333334,0.25,0.617,Gaussian,50
gscore,GP-ER3,0.24836666666666662,0.0588,0.2941,Gaussian,50
shd,GP-ER3,33.666666666666664,45.0,33.0,Gaussian,50
F1,MIM-ER1,0.5774,0.5882,0.6667,Gaussian,10
gscore,MIM-ER1,0.14813333333333334,0.2222,0.3333,Gaussian,10
shd,MIM-ER1,6.333333333333333,6.0,5.0,Gaussian,10
F1,MIM-ER11,0.7432333333333333,0.1429,0.5455,Gumbel,10
gscore,MIM-ER11,0.4666666666666666,0.0,0.0,Gumbel,10
shd,MIM-ER11,4.666666666666667,9.0,8.0,Gumbel,10
F1,MIM-ER12,0.6952999999999999,0.7761,0.641,Gumbel,30
gscore,MIM-ER12,0.3518666666666667,0.5833,0.2222,Gumbel,30
shd,MIM-ER12,20.0,13.0,25.0,Gumbel,30
F1,MIM-ER13,0.6338666666666666,0.6,0.6612,Gumbel,50
gscore,MIM-ER13,0.15723333333333334,0.3208,0.2264,Gumbel,50
shd,MIM-ER13,36.333333333333336,30.0,34.0,Gumbel,50
F1,MIM-ER2,0.8028666666666666,0.7234,0.7333,Gaussian,30
gscore,MIM-ER2,0.5833333333333334,0.5357,0.4286,Gaussian,30
shd,MIM-ER2,9.0,11.0,11.0,Gaussian,30
F1,MIM-ER21,0.6658333333333334,0.4615,0.5806,Laplace,10
gscore,MIM-ER21,0.2889,0.0667,0.1333,Laplace,10
shd,MIM-ER21,9.0,10.0,10.0,Laplace,10
F1,MIM-ER22,0.7384333333333334,0.566,0.7813,Laplace,30
gscore,MIM-ER22,0.40230000000000005,0.2069,0.5172,Laplace,30
shd,MIM-ER22,15.666666666666666,20.0,12.0,Laplace,30
F1,MIM-ER23,0.6987000000000001,0.45,0.7119,Laplace,50
gscore,MIM-ER23,0.32726666666666665,0.2,0.3818,Laplace,50
shd,MIM-ER23,30.666666666666668,39.0,28.0,Laplace,50
F1,MIM-ER3,0.6622666666666667,0.5,0.6531,Gaussian,50
gscore,MIM-ER3,0.22726666666666664,0.2727,0.2273,Gaussian,50
shd,MIM-ER3,29.0,30.0,29.0,Gaussian,50
F1,MLP-ER1,0.5685000000000001,0.5455,0.6667,Gaussian,10
gscore,MLP-ER1,0.12119999999999999,0.0909,0.1818,Gaussian,10
shd,MLP-ER1,9.666666666666666,10.0,9.0,Gaussian,10
F1,MLP-ER11,0.38730000000000003,0.6667,0.4,Gumbel,10
gscore,MLP-ER11,0.0,0.4286,0.0,Gumbel,10
shd,MLP-ER11,7.666666666666667,4.0,7.0,Gumbel,10
F1,MLP-ER12,0.6770333333333333,0.9459,0.7733,Gumbel,30
gscore,MLP-ER12,0.43860000000000005,0.8947,0.5526,Gumbel,30
shd,MLP-ER12,19.666666666666668,4.0,15.0,Gumbel,30
F1,MLP-ER13,0.3982333333333334,0.7407,0.6585,Gumbel,50
gscore,MLP-ER13,0.0355,0.5532,0.4043,Gumbel,50
shd,MLP-ER13,42.0,20.0,25.0,Gumbel,50
F1,MLP-ER2,0.5836666666666667,0.7619,0.6452,Gaussian,30
gscore,MLP-ER2,0.2929,0.5455,0.3333,Gaussian,30
shd,MLP-ER2,21.333333333333332,14.0,20.0,Gaussian,30
F1,MLP-ER21,0.7143,0.875,0.8,Laplace,10
gscore,MLP-ER21,0.5556,0.7778,0.6667,Laplace,10
shd,MLP-ER21,4.0,2.0,3.0,Laplace,10
F1,MLP-ER22,0.47436666666666666,0.7451,0.6154,Laplace,30
gscore,MLP-ER22,0.06896666666666666,0.5517,0.3103,Laplace,30
shd,MLP-ER22,27.333333333333332,12.0,19.0,Laplace,30
F1,MLP-ER23,0.5246,0.8,0.7123,Laplace,50
gscore,MLP-ER23,0.2927,0.6341,0.4878,Laplace,50
shd,MLP-ER23,29.0,15.0,21.0,Laplace,50
F1,MLP-ER3,0.6889,0.9412,0.8955,Gaussian,50
gscore,MLP-ER3,0.4314,0.8824,0.7941,Gaussian,50
shd,MLP-ER3,18.666666666666668,4.0,5.0,Gaussian,50
